Partial-Vaccinated,State,Total,Total-Vaccinated,Vaccinated-today,date
2600380.0,Himachal Pradesh,3040740.0,440360.0,120697.0,2021-06-22
6800712.0,Haryana,8011052.0,1210340.0,76343.0,2021-06-22
18105136.0,Gujarat,23067276.0,4962140.0,427248.0,2021-06-22
688792.0,Goa,791272.0,102480.0,14602.0,2021-06-22
142449.0,Dadra and Nagar Haveli,154806.0,12357.0,3978.0,2021-06-22
164799.0,Ladakh,202329.0,37530.0,1552.0,2021-06-22
5386159.0,Chhattisgarh,6605593.0,1219434.0,107994.0,2021-06-22
390586.0,Chandigarh,468436.0,77850.0,7766.0,2021-06-22
12546864.0,Bihar,14642396.0,2095532.0,288917.0,2021-06-22
4885776.0,Assam,5989078.0,1103302.0,247592.0,2021-06-22
425013.0,Arunachal Pradesh,505027.0,80014.0,10299.0,2021-06-22
11306134.0,Andhra Pradesh,14058162.0,2752028.0,42891.0,2021-06-22
15251854.0,West Bengal,19667535.0,4415681.0,300313.0,2021-06-22
10022247.0,Kerala,12668936.0,2646689.0,230646.0,2021-06-22
124729.0,Andaman and Nicobar Islands,140296.0,15567.0,2788.0,2021-06-22
45234.0,Lakshadweep,52459.0,7225.0,191.0,2021-06-22
4764482.0,Punjab,5647031.0,882549.0,114539.0,2021-06-22
14660585.0,Madhya Pradesh,16803173.0,2142588.0,4842.0,2021-06-22
3056963.0,Uttarakhand,3799085.0,742122.0,118827.0,2021-06-22
23129586.0,Uttar Pradesh,27232439.0,4102853.0,810368.0,2021-06-22
1733843.0,Tripura,2285345.0,551502.0,183055.0,2021-06-22
8076582.0,Telangana,9486520.0,1409938.0,149402.0,2021-06-22
325348.0,Sikkim,385331.0,59983.0,13731.0,2021-06-22
18591445.0,Rajasthan,22139075.0,3547630.0,378870.0,2021-06-22
11092832.0,Tamil Nadu,13414792.0,2321960.0,219764.0,2021-06-22
387363.0,Puducherry,445363.0,58000.0,7947.0,2021-06-22
8574489.0,Odisha,10441470.0,1866981.0,266376.0,2021-06-22
366444.0,Nagaland,419911.0,53467.0,9883.0,2021-06-22
420432.0,Mizoram,473304.0,52872.0,27429.0,2021-06-22
541746.0,Meghalaya,617157.0,75411.0,12594.0,2021-06-22
504048.0,Manipur,576461.0,72413.0,3977.0,2021-06-22
23089545.0,Maharashtra,28706375.0,5616830.0,558186.0,2021-06-22
379550.0,Puducherry,436571.0,57021.0,17333,2021-06-21
22587693.0,Maharashtra,28128768.0,5541075.0,383121,2021-06-21
500102.0,Manipur,572397.0,72295.0,6611,2021-06-21
528959.0,Meghalaya,604195.0,75236.0,13191,2021-06-21
393007.0,Mizoram,445820.0,52813.0,17064,2021-06-21
356362.0,Nagaland,409572.0,53210.0,9920,2021-06-21
8309521.0,Odisha,10149548.0,1840027.0,294338,2021-06-21
22296504.0,Uttar Pradesh,26359410.0,4062906.0,716966,2021-06-21
4654728.0,Punjab,5521994.0,867266.0,93939,2021-06-21
18233535.0,Rajasthan,21713044.0,3479509.0,444777,2021-06-21
311460.0,Sikkim,371403.0,59943.0,11962,2021-06-21
10807056.0,Tamil Nadu,13106666.0,2299610.0,361213,2021-06-21
7928931.0,Telangana,9327568.0,1398637.0,147825,2021-06-21
1549142.0,Tripura,2093251.0,544109.0,146923,2021-06-21
163217.0,Ladakh,200706.0,37489.0,1415,2021-06-21
2938547.0,Uttarakhand,3676500.0,737953.0,119310,2021-06-21
44826.0,Lakshadweep,52001.0,7175.0,396,2021-06-21
674546.0,Goa,776098.0,101552.0,15647,2021-06-21
9878112.0,Kerala,12431202.0,2553090.0,262875,2021-06-21
16339169.0,Karnataka,19652759.0,3313590.0,1111753,2021-06-21
151712.0,Daman and Diu,166457.0,14745.0,4374,2021-06-21
121964.0,Andaman and Nicobar Islands,137495.0,15531.0,783,2021-06-21
11265333.0,Andhra Pradesh,14011163.0,2745830.0,48683,2021-06-21
414267.0,Arunachal Pradesh,494030.0,79763.0,13170,2021-06-21
4635279.0,Assam,5721227.0,1085948.0,354621,2021-06-21
12161634.0,Bihar,14235058.0,2073424.0,519955,2021-06-21
382966.0,Chandigarh,460426.0,77460.0,6748,2021-06-21
5278123.0,Chhattisgarh,6480379.0,1202256.0,90240,2021-06-21
138512.0,Dadra and Nagar Haveli,150810.0,12298.0,4176,2021-06-21
5013438.0,Delhi,6611234.0,1597796.0,76282,2021-06-21
17730463.0,Gujarat,22619651.0,4889188.0,509417,2021-06-21
6690650.0,Haryana,7879825.0,1189175.0,493436,2021-06-21
2478389.0,Himachal Pradesh,2918724.0,440335.0,98669,2021-06-21
3402011.0,Jammu and Kashmir,4009211.0,607200.0,35503,2021-06-21
4957150.0,Jharkhand,5883561.0,926411.0,87427,2021-06-21
14997560.0,West Bengal,19349842.0,4352282.0,325479,2021-06-21
14594389.0,Madhya Pradesh,16733198.0,2138809.0,1670383,2021-06-21
12965037.0,Madhya Pradesh,15019817.0,2054780.0,692,2021-06-20
147394.0,Daman and Diu,162077.0,14683.0,168,2021-06-20
22244712.0,Maharashtra,27733974.0,5489262.0,113010,2021-06-20
493565.0,Manipur,565710.0,72145.0,424,2021-06-20
515897.0,Meghalaya,590972.0,75075.0,515,2021-06-20
376032.0,Mizoram,428686.0,52654.0,0,2021-06-20
346298.0,Nagaland,399370.0,53072.0,4206,2021-06-20
8037617.0,Odisha,9846132.0,1808515.0,16802,2021-06-20
362503.0,Puducherry,418672.0,56169.0,8228,2021-06-20
4565935.0,Punjab,5422887.0,856952.0,33906,2021-06-20
17808082.0,Rajasthan,21238176.0,3430094.0,347685,2021-06-20
299524.0,Sikkim,359435.0,59911.0,803,2021-06-20
10429212.0,Tamil Nadu,12701415.0,2272203.0,149695,2021-06-20
7785158.0,Telangana,9173921.0,1388763.0,100463,2021-06-20
1403613.0,Tripura,1942706.0,539093.0,20745,2021-06-20
21602698.0,Uttar Pradesh,25627085.0,4024387.0,8745,2021-06-20
2821983.0,Uttarakhand,3556154.0,734171.0,13906,2021-06-20
44347.0,Lakshadweep,51507.0,7160.0,88,2021-06-20
121202.0,Andaman and Nicobar Islands,136708.0,15506.0,0,2021-06-20
161809.0,Ladakh,199286.0,37477.0,0,2021-06-20
4953785.0,Delhi,6533793.0,1580008.0,11673,2021-06-20
11201229.0,Andhra Pradesh,13940560.0,2739331.0,1368049,2021-06-20
400684.0,Arunachal Pradesh,480320.0,79636.0,1843,2021-06-20
4294662.0,Assam,5360385.0,1065723.0,33473,2021-06-20
11630826.0,Bihar,13680378.0,2049552.0,128100,2021-06-20
376354.0,Chandigarh,453577.0,77223.0,3484,2021-06-20
5192061.0,Chhattisgarh,6380490.0,1188429.0,4117,2021-06-20
134367.0,Dadra and Nagar Haveli,146627.0,12260.0,160,2021-06-20
659181.0,Goa,760206.0,101025.0,12425,2021-06-20
9719116.0,Kerala,12161549.0,2442433.0,57483,2021-06-20
17278756.0,Gujarat,22099535.0,4820779.0,189849,2021-06-20
6216032.0,Haryana,7367943.0,1151911.0,37118,2021-06-20
2379678.0,Himachal Pradesh,2819998.0,440320.0,842,2021-06-20
3367528.0,Jammu and Kashmir,3970723.0,603195.0,14127,2021-06-20
4869438.0,Jharkhand,5778609.0,909171.0,104955,2021-06-20
15268722.0,Karnataka,18498363.0,3229641.0,68072,2021-06-20
14736671.0,West Bengal,19010947.0,4274276.0,67619,2021-06-20
147243.0,Daman and Diu,161908.0,14665.0,5640.0,2021-06-19
44126.0,Lakshadweep,51284.0,7158.0,321.0,2021-06-19
121201.0,Andaman and Nicobar Islands,136707.0,15506.0,849.0,2021-06-19
12964134.0,Madhya Pradesh,15018743.0,2054609.0,21973.0,2021-06-19
493052.0,Manipur,565195.0,72143.0,4062.0,2021-06-19
514835.0,Meghalaya,589906.0,75071.0,11376.0,2021-06-19
376032.0,Mizoram,428686.0,52654.0,7256.0,2021-06-19
341974.0,Nagaland,395022.0,53048.0,2471.0,2021-06-19
8019234.0,Odisha,9825907.0,1806673.0,158516.0,2021-06-19
354186.0,Puducherry,410129.0,55943.0,24381.0,2021-06-19
17479778.0,Rajasthan,20869269.0,3389491.0,217539.0,2021-06-19
298722.0,Sikkim,358633.0,59911.0,11244.0,2021-06-19
10238404.0,Tamil Nadu,12498914.0,2260510.0,310801.0,2021-06-19
7684311.0,Telangana,9069710.0,1385399.0,188866.0,2021-06-19
1383797.0,Tripura,1920866.0,537069.0,57814.0,2021-06-19
21587631.0,Uttar Pradesh,25610808.0,4023177.0,440268.0,2021-06-19
2809750.0,Uttarakhand,3541936.0,732186.0,25504.0,2021-06-19
14677149.0,West Bengal,18937419.0,4260270.0,277470.0,2021-06-19
9850955.0,Andhra Pradesh,12503233.0,2652278.0,14248.0,2021-06-19
22134489.0,Maharashtra,27616708.0,5482219.0,381364.0,2021-06-19
4535431.0,Punjab,5385524.0,850093.0,26228.0,2021-06-19
161809.0,Ladakh,199286.0,37477.0,1128.0,2021-06-19
646436.0,Goa,747361.0,100925.0,20356.0,2021-06-19
9676904.0,Kerala,12103202.0,2426298.0,105036.0,2021-06-19
4269193.0,Assam,5324600.0,1055407.0,110521.0,2021-06-19
11471642.0,Bihar,13509656.0,2038014.0,307142.0,2021-06-19
372899.0,Chandigarh,450057.0,77158.0,9308.0,2021-06-19
5189635.0,Chhattisgarh,6375229.0,1185594.0,8458.0,2021-06-19
134208.0,Dadra and Nagar Haveli,146467.0,12259.0,5052.0,2021-06-19
4943731.0,Delhi,6522118.0,1578387.0,86131.0,2021-06-19
398545.0,Arunachal Pradesh,478167.0,79622.0,8484.0,2021-06-19
17116300.0,Gujarat,21903561.0,4787261.0,298818.0,2021-06-19
6180911.0,Haryana,7327041.0,1146130.0,72025.0,2021-06-19
2378841.0,Himachal Pradesh,2819145.0,440304.0,25445.0,2021-06-19
3351691.0,Jammu and Kashmir,3953717.0,602026.0,37842.0,2021-06-19
4762333.0,Jharkhand,5656138.0,893805.0,94683.0,2021-06-19
15205385.0,Karnataka,18421390.0,3216005.0,265017.0,2021-06-19
17259146.0,Rajasthan,20630839.0,3371693.0,335589.0,2021-06-18
489047.0,Manipur,561047.0,72000.0,4471.0,2021-06-18
503100.0,Meghalaya,578098.0,74998.0,14800.0,2021-06-18
368782.0,Mizoram,421435.0,52653.0,10899.0,2021-06-18
339208.0,Nagaland,392226.0,53018.0,9427.0,2021-06-18
7882328.0,Odisha,9656101.0,1773773.0,140346.0,2021-06-18
330113.0,Puducherry,385272.0,55159.0,15881.0,2021-06-18
4513149.0,Punjab,5356568.0,843419.0,25842.0,2021-06-18
7499623.0,Telangana,8874911.0,1375288.0,173351.0,2021-06-18
287492.0,Sikkim,347391.0,59899.0,15564.0,2021-06-18
9911018.0,Tamil Nadu,12148674.0,2237656.0,164229.0,2021-06-18
12950585.0,Madhya Pradesh,14994833.0,2044248.0,14833.0,2021-06-18
1328982.0,Tripura,1860877.0,531895.0,66978.0,2021-06-18
21162728.0,Uttar Pradesh,25149677.0,3986949.0,456517.0,2021-06-18
2786799.0,Uttarakhand,3515649.0,728850.0,37214.0,2021-06-18
14455315.0,West Bengal,18645621.0,4190306.0,205204.0,2021-06-18
141691.0,Daman and Diu,156257.0,14566.0,3079.0,2021-06-18
21802528.0,Maharashtra,27220156.0,5417628.0,223836.0,2021-06-18
389369.0,Arunachal Pradesh,468875.0,79506.0,14136.0,2021-06-18
43642.0,Lakshadweep,50773.0,7131.0,206.0,2021-06-18
160703.0,Ladakh,198155.0,37452.0,1431.0,2021-06-18
9838546.0,Andhra Pradesh,12487466.0,2648920.0,22692.0,2021-06-18
4179861.0,Assam,5210614.0,1030753.0,115685.0,2021-06-18
